Timestamp,Cálculo 1,Cálculo 2,Cálculo 3,Cálculo 4,Física 1,Física 2,Física 3,Física 4,Progamação 1,Programação 2,Geometria analítica,Álgebra linear,Matéria adicional 1,Nota 1,Matéria adicional 2,Nota 2,Matéria adicional 3,Nota 3,Matéria adicional 4,Nota 4,Matéria adicional 5,Nota 5
11/17/2016 11:28:13,10,8,9,6,9,7,9,9,10,Não Fiz,8,8,Análise 1,9,Mecânica Geral 1,10,Mecânica Geral 2,9,Estrutura da Matéria,9,Mecânica Quântica 1,8
11/17/2016 11:29:10,6,Não Fiz,Não Fiz,Não Fiz,6,8,Não Fiz,Não Fiz,9,Não Fiz,5,Não Fiz,,,,,,,,,,
11/17/2016 11:32:00,8,6,10,,10,10,,,9,,7,7,Resistencia dos materiais,9,Fenomenos de Transporte,8,Mecanica dos sólidos,6,Quimica geral,6,Quimica organica,9
11/17/2016 11:44:05,8,9,8,Não Fiz,7,8,Não Fiz,Não Fiz,10,10,9,8,SME0301 Métodos Numéricos para Engenharia 1,9,SME0302 Métodos Numéricos para Engenharia 2,10,IAU0126 Humanidades e Ciências Sociais ,8,,,,
11/17/2016 11:52:57,9,9,8,,6,8,,,10,,7,6,,,,,,,,,,
11/17/2016 12:25:51,8,8,7,6,7,9,,,6,,8,7,Circuitos Lógicos - EA772,6,Circuitos Elétricos - EA513,7,Física Experimental 1 - F128,8,Lab. de Circuitos Lógicos - EA773,10,Física Experimental 2 - F229,7
11/17/2016 12:33:07,8,5,5,6,9,9,Não Fiz,8,5,Não Fiz,7,5,,,,,,,,,,
11/17/2016 14:19:58,5,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,10,Não Fiz,6,Não Fiz,,,,,,,,,,
11/17/2016 14:56:28,6,5,5,Não Fiz,5,Não Fiz,Não Fiz,Não Fiz,9,6,5,6,,,,,,,,,,
11/17/2016 16:16:50,9,8,8,Não Fiz,7,7,Não Fiz,Não Fiz,9,Não Fiz,9,7,Cálculo Numérico,8,,,,,,,,
11/17/2016 17:55:36,8,6,7,5,6,6,Não Fiz,Não Fiz,9,8,6,6,SEL0301 Circuitos Elétricos I,8,SEL0309 Eletromagnetismo,10,SEL0311 Instalações Elétricas I,10,SEL0401 Eletrônica de Potência,7,SEL0359 Controle Digital,9
11/17/2016 17:57:24,7,7,6,Não Fiz,8,7,Não Fiz,Não Fiz,10,Não Fiz,7,Não Fiz,EA772,8,EA513,7,EA773,10,CE738,8,EA611,6
11/17/2016 18:09:48,6,6,5,Não Fiz,6,4,Não Fiz,Não Fiz,9,Não Fiz,9,8, Mecânica dos Sólidos I SET0183 ,6,Eletricidade I SEL0403,5,Fundamentos da Mecânica dos Fluidos SEM0403,5,Princípios de Eletrônica SEL0203,6, Termodinâmica I SEM0233,7
11/17/2016 19:17:10,7,,,,8,,,,,,7,,EA773,7,F229,8,,,,,,
11/17/2016 20:45:01,7,8,9,Não Fiz,6,5,7,Não Fiz,9,Não Fiz,Não Fiz,7,Algebra linear 2,7,Mecânica 1,7,Probabilidade,7,Fenômenos de transporte 1,7,Quimica inorgânica ,7
11/17/2016 21:06:44,6,7,Não Fiz,Não Fiz,7,8,Não Fiz,Não Fiz,7,Não Fiz,9,9,,,,,,,,,,
11/17/2016 22:11:19,10,Não Fiz,Não Fiz,Não Fiz,10,Não Fiz,Não Fiz,Não Fiz,9,Não Fiz,7,Não Fiz,Química Geral 1(00),7,Física Experimental 1,9,,,,,,
11/18/2016 2:25:39,8,9,9,,7,7,Não Fiz,Não Fiz,9,9,5,8,,,,,,,,,,
11/18/2016 7:33:20,6,6,5,3,7,5,7,,,,6,5,,,,,,,,,,
11/18/2016 13:10:29,9,7,9,9,8,7,Não Fiz,Não Fiz,8,Não Fiz,5,6,,,,,,,,,,
11/18/2016 21:26:58,9,7,9,9,8,7,Não Fiz,Não Fiz,8,Não Fiz,5,6,,,,,,,,,,
11/19/2016 19:33:53,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,HL 143 - Latim 1,9,LA 219 - Espanhol 1 ,9,LA 303 - Interpretação: Teoria e Prática,10,HL 320 - Gramatica 1,10,EL 511 - Psicologia e Educação ,9
11/19/2016 19:34:00,,,,,,,,,,,,,,,,,,,,,,
11/20/2016 12:44:41,7,6,5,5,9,6,Não Fiz,Não Fiz,5,Não Fiz,6,7,,,,,,,,,,
11/20/2016 12:45:27,7,5,5,7,6,Não Fiz,Não Fiz,Não Fiz,7,Não Fiz,6,6,,,,,,,,,,
11/20/2016 12:57:44,7,3,6,6,4,7,7,7,5,6,5,1,,,,,,,,,,
11/20/2016 13:03:36,10,Não Fiz,Não Fiz,Não Fiz,9,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,8,Não Fiz,Circuitos lógicos EA772,8,Senai,10,Desenho técnico,9,,,,
11/20/2016 13:09:47,8,8,9,Não Fiz,8,8,Não Fiz,Não Fiz,7,Não Fiz,8,5,Introdução a Sistemas de Computação Digital - EA869,7,,,,,,,,
